Date,Channel Name,Total Views,Total Subscribers
2025-03-27,Aaj News,446511008,1480000
2025-03-27,92 News,1967376503,5690000
2025-03-27,GNN News,1696170281,3480000
2025-03-27,Public News,1156127748,3250000
2025-03-27,24 News hd,3850574390,8620000
2025-03-27,Bol News,3890206336,7770000
2025-03-27,Hum News,460248720,1620000
2025-03-27,Neo news,686487100,2240000
2025-03-28,Geo Entertainment,1434431697,3630000
2025-03-28,Geo News,9462365563,17900000
2025-03-28,Samma Entertainment,89925173,166000
2025-03-28,Samma News,6186105281,12500000
2025-03-28,Dawn news,712159140,1920000
2025-03-28,Express News,1586274359,4730000
2025-03-28,ARY News,8820491244,14500000
2025-03-28,ARY Digital,62530377071,62000000
2025-03-28,Duniya News,4901394973,8700000
2025-03-28,Aaj News,447120464,1490000
2025-03-28,92 News,1968302634,5690000
2025-03-28,GNN News,1697089607,3490000
2025-03-28,Public News,1156401956,3260000
2025-03-28,24 News hd,3851857538,8620000
2025-03-28,Bol News,3891516673,7770000
2025-03-28,Hum News,460447216,1620000
2025-03-28,Neo news,686619042,2240000
2025-03-29,Geo Entertainment,1435064265,3630000
2025-03-29,Geo News,9466692856,17900000
2025-03-29,Samma Entertainment,89928798,166000
2025-03-29,Samma News,6189699103,12500000
2025-03-29,Dawn news,712729558,1920000
2025-03-29,Express News,1587298458,4730000
2025-03-29,ARY News,8822215205,14500000
2025-03-29,ARY Digital,62558967978,62000000
2025-03-29,Duniya News,4902708175,8700000
2025-03-29,Aaj News,447651688,1490000
2025-03-29,92 News,1969059015,5700000
2025-03-29,GNN News,1698027960,3490000
2025-03-29,Public News,1156646171,3260000
2025-03-29,24 News hd,3852799543,8620000
2025-03-29,Bol News,3892624708,7770000
2025-03-29,Hum News,460610510,1620000
2025-03-29,Neo news,686712331,2240000
2025-03-30,Geo Entertainment,1435613163,3630000
2025-03-30,Geo News,9474021611,17900000
2025-03-30,Samma Entertainment,89932526,166000
2025-03-30,Samma News,6194739977,12500000
2025-03-30,Dawn news,713325309,1920000
2025-03-30,Express News,1589154389,4730000
2025-03-30,ARY News,8825171862,14500000
2025-03-30,ARY Digital,62590331178,62000000
2025-03-30,Duniya News,4904152814,8710000
2025-03-30,Aaj News,448252963,1490000
2025-03-30,92 News,1969909686,5700000
